Symbol,NSAF_SpC_ratio,hESC_Ln_NSAF,hNSC_Ln_NSAF,t_test_p,color
PNPT1,1.427894378,-9.245585547,-9.601786443,0.125754079,gray
POC1A,1.238656992,-12.95443721,-13.16846493,,gray
PODXL,3.56245985,-8.037089078,-9.307540353,0.017310299,red
POFUT1,1.063576843,-9.026247473,-9.087885081,0.783879082,gray
POFUT2,0.116368237,-12.29727464,-10.14627898,0.049994475,blue
POGK,0.27989812,-11.83599123,-10.56266163,0.158789583,gray
POGZ,1.697222723,-11.259651,-11.78864423,0.165651744,gray
POLA1,1.189457552,-9.443962367,-9.617459731,0.302834301,gray
POLA2,0.484285525,-11.21402461,-10.48894399,0.322334483,gray
POLB,0.125562708,-12.16250046,-10.08755048,0.033425396,blue
POLD1,0.590036309,-9.11904778,-8.591476576,0.002912664,green
POLD2,0.52443503,-9.414384045,-8.768950315,0.012435861,green
POLD3,0.750901412,-9.442217788,-9.155736877,0.040465371,green
POLDIP2,1.4271116,-8.972153273,-9.327805815,0.243678674,gray
POLDIP3,0.918865189,-9.115081601,-9.030465741,0.702660793,gray
POLE,0.714930469,-11.64784522,-11.31227524,0.406447366,gray
POLE2,0.619328387,-11.98319694,-11.5040773,,gray
POLE3,1.417909227,-11.56985102,-11.91903443,,gray
POLE4,0.491560842,-10.87949574,-10.16932619,,gray
POLG,0.865293469,-11.82321651,-11.67852995,0.703865493,gray
POLG2,0.780305009,-13.36081888,-13.11274848,,gray
POLH,0.780304082,-13.51510579,-13.2670342,,gray
POLI,0.114081341,-12.7239715,-10.55312793,0.039387779,blue
POLK,0.619328676,-13.71411446,-13.23499529,,gray
POLL,0.780305009,-13.53104238,-13.28297198,,gray
POLM,1.238656153,-13.17610512,-13.39013216,,gray
POLN,0.780305477,-13.97906605,-13.73099625,,gray
POLQ,0.661963321,-14.02247727,-13.60993214,,gray
POLR1A,0.366968508,-12.04794197,-11.04546273,0.220486979,gray
POLR1B,0.903076748,-13.08874693,-12.98679919,,gray
POLR1C,0.895220331,-9.833229171,-9.722543759,0.719228013,gray
POLR1D,0.605247942,-10.03208974,-9.529972654,0.244374861,gray
POLR1E,3.584903607,-11.78740947,-13.06414106,,gray
POLR2A,1.436644281,-9.986270311,-10.34858035,0.12918817,gray
POLR2B,0.771977885,-9.651835268,-9.393035892,0.314141908,gray
POLR2C,1.483178622,-10.48695691,-10.88114441,0.705980779,gray
POLR2D,1.586988741,-11.18095429,-11.64279264,,gray
POLR2E,1.51180805,-10.00375321,-10.41705953,0.39180529,gray
POLR2F,0.61932902,-11.78980957,-11.31069096,,gray
POLR2G,0.681659603,-10.93787223,-10.55464737,0.729122489,gray
POLR2H,0.860443851,-8.465901984,-8.315595067,0.493525685,gray
POLR2I,0.983122706,-9.42418515,-9.407163811,0.970990698,gray
POLR2J2,0.68340598,-11.41427588,-11.0336097,,gray
POLR2J3,0.867463141,-11.92160331,-11.77942106,,gray
POLR2J4,0.903861004,-12.20460093,-12.10352124,,gray
POLR2K,0.858836929,-10.31291853,-10.16074231,,gray
POLR2L,6.20976027,-8.845073547,-10.67119584,0.073742486,gray
POLR3A,0.858635237,-10.7224616,-10.57005052,0.699859953,gray
POLR3B,1.449358451,-10.58973465,-10.96085566,0.15205139,gray
POLR3C,0.538286851,-11.14140855,-10.52204487,0.416619512,gray
POLR3D,3.572912928,-11.41062454,-12.68400575,0.097524222,gray
POLR3E,1.053299484,-10.27796949,-10.32989709,0.954299976,gray
POLR3F,0.500404047,-11.0447616,-10.35242219,0.169682007,gray
POLR3G,24.51473716,-9.317664053,-12.51693851,0.002270019,red
POLR3H,0.340829915,-11.570596,-10.49422429,0.000879172,blue
POLR3K,1.238656546,-10.70355865,-10.91758601,,gray
POLRMT,3.630443002,-11.37429812,-12.6636528,0.028434553,red
POM121,0.541033275,-14.30677124,-13.69249674,,gray
POMGNT1,0.203907885,-13.79407536,-12.20398843,,gray
POMP,3.163981788,-9.666178807,-10.8180101,0.128290903,gray
PON2,0.276022232,-10.84974073,-9.562466864,0.032964333,blue
PON3,1.238656992,-12.8149195,-13.02894722,,gray
POP1,0.961907682,-10.12655809,-10.0877213,0.895056675,gray
POP4,0.619328723,-12.10820068,-11.62908159,,gray
POP5,1.56060917,-11.80832623,-12.25340247,,gray
POP7,0.667152021,-10.75353228,-10.34879494,0.679612652,gray
POR,1.090168007,-8.459609656,-8.545941475,0.394504319,gray
POTEC,1.579643095,-13.07577198,-13.53297091,,gray
POTEF,12.75283031,-9.519969104,-12.06572234,0.237968482,gray
POTEH,1.735590151,-12.38504448,-12.93639198,,gray
POU2F1,0.6982681,-9.807905496,-9.448753343,0.256485807,gray
